"Advertiser_ID";"Advertiser_Name";"Specific_Party";"Support_Type_uncleaned";"Support_Type";"Broad_Sector";"Spend_USD";"Public_IDs_List";"FEC_registered"
"AR108481940364984320";"BIDEN FOR PRESIDENT";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";83685300;"FEC ID C00703975";"YES"
"AR105500339708362752";"DONALD J. TRUMP FOR PRESIDENT, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";83495300;"FEC ID C00580100";"YES"
"AR488306308034854912";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";46206600;"FEC ID C00618371";"YES"
"AR25310001757159424";"BIDEN VICTORY FUND";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";15933100;"FEC ID C00744946";"YES"
"AR128018337845215232";"DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";14749900;"FEC ID C00010603";"YES"
"AR110279573156921344";"SENATE LEADERSHIP FUND";"REPUBLICAN";"Political_Action_Commitees";"pac";"Party";12048400;"EIN ID 47-2994920,FEC ID C00571703,EIN ID 47-2994920,FEC ID C00571703";"YES"
"AR249615527784218624";"DSCC";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";11731800;"FEC ID C00042366";"YES"
"AR194446432348930048";"NRSC";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";10498500;"FEC ID C00027466";"YES"
"AR276637125548441600";"REPUBLICAN NATIONAL COMMITTEE";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";8629300;"FEC ID C00003418";"YES"
"AR462410610177474560";"AMERICA FIRST ACTION, INC.";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";8255500;"FEC ID C00637512";"YES"
"AR568293442493349888";"PRIORITIES USA ACTION";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";7643000;"FEC ID C00495861,EIN ID 37-1635320";"YES"
"AR157291735423123456";"NRCC";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";7474000;"FEC ID C00075820";"YES"
"AR470291909525372928";"CONGRESSIONAL LEADERSHIP FUND";"REPUBLICAN";"Political_Action_Commitees";"pac";"Party";7442500;"FEC ID C00504530";"YES"
"AR505923507968802816";"AMY MCGRATH FOR SENATE, INC.";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";7178200;"FEC ID C00711549";"YES"
"AR488740683847303168";"YES ON 22 - SAVE APP-BASED JOBS & SERVICES";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"law";7122400;"Registered in California";"NO"
"AR264932274514952192";"JAIME HARRISON FOR US SENATE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";6553900;"FEC ID C00696153";"YES"
"AR329053043867779072";"PRIORITIES USA ACTION & SMP";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";5881700;"FEC ID C00484642, FEC ID C00495861";"YES"
"AR120847323008860160";"CONSERVATIVE BUZZ LLC";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"Ideology/Single Issue";5849400;"EIN ID 45-4445561";"NO"
"AR312492199730216960";"TEAM GRAHAM, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";5749100;"FEC ID C00458828";"YES"
"AR315172053164490752,AR463536510084317184";"SMP";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";4797700;"EIN ID 27-2896127,FEC ID C00484642";"YES"
"AR424466463902924800";"AMERICANS FOR PROSPERITY ACTION INC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";4705100;"EIN ID 83-1800586";"YES"
"AR73365463119167488";"MARK KELLY FOR SENATE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";4552400;"FEC ID C00696526";"YES"
"AR464053486707802112";"PRESERVE AMERICA PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";4395700;"FEC ID C00756882";"YES"
"AR277188805507678208";"STOP REPUBLICANS";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";4031100;"FEC ID C00633404";"YES"
"AR271344076572327936";"INDEPENDENCE USA PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";3755800;"FEC ID C00532705";"YES"
"AR32483696653107200,AR534531769731383296";"JON OSSOFF FOR SENATE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";3672700;"EIN ID 84-2896852,FEC ID C00718866";"YES"
"AR312665922567405568,AR544601303376986112";"ONE NATION";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";3274900;"EIN ID 27-1937961,FEC ID C90016262";"YES"
"AR221691299693068288";"SAHAK NALBANDYAN";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"Ideology/Single Issue";3254100;"NONPARTISAN";"NO"
"AR312551298480209920";"NO ON 23 - STOP THE DANGEROUS & COSTLY DIALYSIS PROPOSITION, A COALITION OF DIALYSIS PROVIDERS, NURSES, DOCTORS AND PATIENTS";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"law";3221900;"EIN ID 84-2504027";"NO"
"AR432363981047332864";"THERESA GREENFIELD FOR IOWA, INC.";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";3193900;"EIN ID 83-4679078";"NO"
"AR168663228274966528";"THE LINCOLN PROJECT";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";3036100;"FEC ID C00725820";"YES"
"AR248489627877376000";"DCCC";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";2998400;"FEC ID C00000935";"YES"
"AR321673121822146560";"HOUSE MAJORITY PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Party";2903700;"FEC ID C00495028";"YES"
"AR442874212697243648";"NEWSMAX MEDIA INC";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";2716300;"EIN ID 65-0855199";"NO"
"AR28939146043064320";"MCSALLY FOR SENATE INC";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";2689100;"FEC ID C00666040";"YES"
"AR102122639987834880";"MCCONNELL SENATE COMMITTEE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";2656500;"FEC ID C00193342";"YES"
"AR246301393579671552";"VOTE YES FOR FAIRNESS";"NONPARTISAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";2655900;"EIN ID 84-3192895";"YES"
"AR180201434577371136";"EPOCH USA INC.";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";2154300;"EIN ID 02-0574879";"NO"
"AR174788813711736832";"PETERS FOR MICHIGAN";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";2124900;"FEC ID C00437889";"YES"
"AR121571557574180864";"GEORGIA ACTION FUND";"REPUBLICAN";"Political_Action_Commitees";"pac";"region";2062500;"FEC ID C00693606";"YES"
"AR372368922919305216";"MONTANANS FOR BULLOCK";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";2010300;"FEC ID C00741611,EIN ID 84-5016177";"YES"
"AR494927567057321984";"STEVE DAINES FOR MONTANA";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";1973300;"FEC ID C00491357";"YES"
"AR49205344366231552";"NEXTGEN CLIMATE ACTION COMMITTEE";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";1918800;"FEC ID C00547349";"YES"
"AR410208203272355840";"NRA VICTORY FUND, INC.";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";1699300;"FEC ID C00741710";"YES"
"AR532605081762136064";"TEXANS FOR SENATOR JOHN CORNYN INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";1568300;"FEC ID C00369033";"YES"
"AR338706618520698880";"SARA GIDEON FOR MAINE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";1543800;"EIN ID 84-2095190,FEC ID C00709899";"YES"
"AR507374725878513664";"HICKENLOOPER FOR COLORADO";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";1485200;"FEC ID C00716720";"YES"
"AR533035128247549952";"AMERICAN BRIDGE 21ST CENTURY";"DEMOCRATIC";"Independent_expenditures";"other";"other";1479400;"FEC ID C00492140";"YES"
"AR405699999440044032";"PROGRESSIVE TURNOUT PROJECT";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";1424400;"FEC ID C00580068";"YES"
"AR505771156888879104";"SCHOOLS AND COMMUNITIES FIRST";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"civil rights";1345200;"EIN ID 82-4522877";"YES"
"AR159365964108922880";"DEFENDING DEMOCRACY TOGETHER";"DEMOCRATIC";"501(c)(4)";"50x";"Ideology/Single Issue";1249600;"EIN ID 82-3877328";"YES"
"AR547189553748770816";"ALLIANCE FOR A BETTER MINNESOTA ACTION FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"region";1229800;"EIN ID 26-1093792";"NO"
"AR248041576889057280";"JONI FOR IOWA";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";1229000;"FEC ID C00546788";"YES"
"AR494296928419315712";"COALITION TO STOP THE PROPOSED TAX HIKE AMENDMENT";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";1181900;"EIN ID 85-1900311";"NO"
"AR374590417443749888";"JUDICIAL WATCH INC";"REPUBLICAN";"501(c)(3)";"50x";"Ideology/Single Issue";1140700;"EIN ID 52-1885088";"NO"
"AR227673879898750976,AR276415436516491264";"WARNOCK FOR GEORGIA";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";1114800;"FEC ID C00736876,EIN ID 84-4401233";"YES"
"AR204060974339063808,AR281467005251354624";"CAL FOR NC";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";1104000;"FEC ID C00709410,EIN ID 84-2045903";"YES"
"AR452619665290559488";"CITIZENS FOR FREE ENTERPRISE";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";1099200;"EIN ID 85-1360921";"YES"
"AR172202212607393792";"COLLINS FOR SENATOR";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";1083500;"FEC ID C00314575,EIN ID 01-0504763";"YES"
"AR56689445138595840";"MARKETFUEL SUBSCRIPTION SERVICES";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";1023600;"EIN ID 35-2563221";"NO"
"AR22566720245858304,AR345005995514134528";"BOLLIER FOR KANSAS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";977500;"FEC ID C00723122,EIN ID 84-3277099";"YES"
"AR390775366043566080";"THOM TILLIS COMMITTEE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";974400;"EIN ID 46-2864060,FEC ID C00545772";"YES"
"AR528016269983612928";"MAJORITY FORWARD";"DEMOCRATIC";"501(c)(4)";"50x";"Ideology/Single Issue";954600;"EIN ID 83-3690373,FEC ID C30002802,FEC ID C90016098";"YES"
"AR291273824337395712";"AMERICANS FOR PROSPERITY";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";916300;"FEC ID C90013285,EIN ID 75-3148958";"YES"
"AR507446606451179520";"SIXTEEN THIRTY FUND";"DEMOCRATIC";"501(c)(4)";"50x";"Ideology/Single Issue";916000;"EIN ID 26-4486735";"YES"
"AR402737915114815488";"WOMEN VOTE!";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";884000;"EIN ID 52-1391360,FEC ID C00473918";"YES"
"AR130338994574589952";"PRAGER UNIVERSITY FOUNDATION";"REPUBLICAN";"501(c)(3)";"50x";"communications";870300;"EIN ID 27-1763901";"NO"
"AR308016087893540864";"MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";833700;"FEC ID C00675884";"YES"
"AR61572444997025792";"AMERICAN VALUES FUND";"REPUBLICAN";"other";"other";"other";802200;"FEC ID C00747121";"YES"
"AR513786390496935936";"ASCENSION MARKETING GROUP, INC.";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";777100;"EIN ID 46-3662173";"NO"
"AR313943555078881280";"NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND";"REPUBLICAN";"Political_Action_Commitees";"pac";"civil rights";757200;"FEC ID C00053553";"YES"
"AR92743049888661504";"JOE EDWARD COLLINS III";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";752500;"FEC ID H0CA43108";"YES"
"AR416683089809375232";"COOPER FOR NORTH CAROLINA";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";723300;"Registered in North Carolina";"NO"
"AR492026162030051328";"CATHOLICVOTE.ORG";"NONPARTISAN";"501(c)(4)";"50x";"Ideology/Single Issue";712100;"EIN ID 20-2603413";"YES"
"AR447694746551320576";"MJ FOR TEXAS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";694300;"FEC ID C00649350";"YES"
"AR175306133932605440";"RESTORATION PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"civil rights";684400;"FEC ID C00571588";"YES"
"AR519831505426448384";"JOHN JAMES FOR SENATE, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";662100;"FEC ID C00651208";"YES"
"AR389673311795150848";"IOWA DEMOCRATIC PARTY";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";655400;"EIN ID 42-0212865";"YES"
"AR200379397092409344";"KOS MEDIA LLC";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";647300;"EIN ID 71-1026233";"NO"
"AR227676972275204096";"AMERICANS FOR TAX REFORM";"REPUBLICAN";"Political_Action_Commitees";"pac";"law";627500;"FEC ID C90011289";"YES"
"AR439033893459329024";"RECRUE MEDIA, LLC";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";602500;"EIN ID 27-2630808";"NO"
"AR334064892745089024";"DITCH FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";597700;"FEC ID C00688739";"YES"
"AR419626413717454848";"TAMMY BALDWIN FOR SENATE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";596400;"FEC ID C00326801";"YES"
"AR475747136466583552";"FRIENDS OF MARK WARNER";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";587200;"FEC ID C00438713";"YES"
"AR24814465610416128";"BEACHSIDE MEDIA INC";"NONPARTISAN";"corporation_and_Labor_special_funds";"corporation/labor";"communications";584700;"EIN ID 81-3216842";"NO"
"AR240944779087577088";"CHANGE NOW";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";579500;"FEC ID C00683599";"YES"
"AR145343548722511872";"KEEP KENTUCKY GREAT";"REPUBLICAN";"Political_Action_Commitees";"pac";"region";570700;"FEC ID C00742494";"YES"
"AR186565133001031680";"WITH HONOR FUND, INC.";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";560800;"FEC ID C00659011";"YES"
"AR553278305546010624";"YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES";"NONPARTISAN";"Political_Action_Commitees";"pac";"law";551300;"EIN ID 84-3660007";"NO"
"AR431080232502427648";"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES";"NONPARTISAN";"Political_Action_Commitees";"pac";"law";539700;"Registered in California 1403027";"NO"
"AR156739162110689280";"A HEALTHY FUTURE, LLC";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"law";537200;"EIN ID 82-4993357";"NO"
"AR309159786144858112";"NO ON PROP 20 - CALIFORNIANS AGAINST THE PRISON SPENDING SCAM";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"law";517600;"Registered in California 843043016";"NO"
"AR222145879031676928";"FEDERATION FOR AMERICAN IMMIGRATION REFORM";"REPUBLICAN";"501(c)(3)";"50x";"civil rights";513000;"EIN ID 52-1136126";"NO"
"AR161858900566474752,AR189320234262331392";"SHAHEEN FOR SENATE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";509800;"EIN ID 26-3704703,FEC ID C00457325";"YES"
"AR82302637227114496";"PRIORITIES USA ACTION AND SMP";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";509500;"EIN ID 27-2896127, EIN ID 37-1635320";"NO"
"AR375716317350592512";"END CITIZENS UNITED";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";502600;"FEC ID C00573261";"YES"
"AR85813584013033472";"PROGRESSNOW";"NONPARTISAN";"501(c)(4)";"50x";"Ideology/Single Issue";501400;"EIN ID 20-8720230";"YES"
"AR216489716340490240";"ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";497200;"FEC ID C00639591";"YES"
"AR428633612972195840";"AMERICAN CIVIL LIBERTIES UNION, INC.";"DEMOCRATIC";"501(c)(3)/(4)";"50x";"civil rights";493900;"EIN ID 13-3871360";"YES"
"AR99922379781701632";"MAGICSTAR ARROW INC";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"merchandize";492300;"EIN ID 45-4676134";"NO"
"AR470412855804428288";"AMERICA FIRST POLICIES INC.";"REPUBLICAN";"501(c)(4)";"50x";"Ideology/Single Issue";485900;"FEC ID C30002778,FEC ID C90017302";"YES"
