"Page.Name";"disclaimer";"spend";"Number.of.Ads.in.Library";"Specific_Party_uncleaned";"Specific_Party";"Broad_Sector_uncleaned";"Broad_Sector";"Support_Type_uncleaned";"Support_Type";"FEC_registered";"CMT_ID";"CMTE_ST";"CMTE_DSGN";"CMTE_PTY_AFFILIATION";"ORG_TP";"CONNECTED_ORG_NM";"CAND_ID";"CMTE_TP"
"Dana Loesch";"DANA LOESCH RADIO";129001;161;"REPUBLICAN";"REPUBLICAN";"communications";"communications";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Greater Half";"GREATER HALF";128753;1429;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Joe Biden Works for You";"BIDEN VICTORY FUND";128668;881;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00744946";"DC";"J";"";"";"NONE";"";"N"
"Voting In Texas: Easy, Safe, Secure";"NATIONAL REDISTRICTING FOUNDATION";128668;586;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Trust Michigan Families";"TRUST MICHIGAN FAMILIES";128466;193;"NON-PARTISAN";"NONPARTISAN";"pro choice";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Election Protection Arizona";"ELECTION PROTECTION ARIZONA";128191;443;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Haley Stevens";"HALEY STEVENS FOR CONGRESS";127722;133;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00638650";"MI";"P";"DEM";"";"STEVENS VICTORY FUND";"H8MI11254";"H"
"Creative Action Network";"CREATIVE ACTION NETWORK";127353;81;"DEMOCRATIC";"DEMOCRATIC";"merchandize";"merchandize";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"State Government Leadership Foundation";"STATE GOVERNMENT LEADERSHIP FOUNDATION";127162;78;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501 (c)(4) ";"50x";"NO";"";"";"";"";"";"";"";""
"NALEO Educational Fund";"NALEO EDUCATIONAL FUND";126997;61;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3) ";"50x";"NO";"";"";"";"";"";"";"";""
"Sean Parnell";"AMERICANS FOR PARNELL COMMITTEE";126485;44;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00724914";"PA";"P";"REP";"";"PARNELL FOR PA-17";"H0PA17115";"H"
"NARAL Pro-Choice America";"NARAL PRO-CHOICE AMERICA FOUNDATION INC";126471;25;"DEMOCRATIC";"DEMOCRATIC";"pro choice";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00079541";"DC";"B";"";"M";"";"";"Q"
"Yes on J";"COMMITTEE TO RE-IMAGINE L.A. COUNTY";125710;470;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"?";"other";"NO";"";"";"";"";"";"";"";""
"National Audubon Society";"NATIONAL AUDUBON SOCIETY, INC.";124902;1117;"NON-PARTISAN";"NONPARTISAN";"climate";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Education Now NC";"EDUCATION NOW";124706;518;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"EZ Insure";"BENEPATH";124563;15;"REPUBLICAN";"REPUBLICAN";"healthcare";"Ideology/Single Issue";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Piedmont Rising";"PIEDMONT RISING";124489;72;"DEMOCRATIC";"DEMOCRATIC";"healthcare";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C30003123";"NC";"U";"";"";"";"";"E"
"Padres y familias por Efren Martinez para Assembly 2020";"PADRES Y FAMILIAS POR EFREN MARTINEZ PARA ASSEMBLY 2020 PATROCINADO POR EDVOICE";124478;124;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Students for Trump";"TURNING POINT ACTION";124456;681;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C90019597";"AZ";"U";"";"";"";"";"I"
"Johns Hopkins Bloomberg School of Public Health";"JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH";124244;51;"NON-PARTISAN";"NONPARTISAN";"healthcare";"Ideology/Single Issue";"education";"other";"NO";"";"";"";"";"";"";"";""
"Democratic Association of Secretaries of State";"DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE";124230;209;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_party_committees";"party committee";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"Mikie Sherrill";"MIKIE SHERRILL FOR CONGRESS";124212;74;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00640003";"NJ";"P";"DEM";"";"SERVICE FIRST WOMEN'S VICTORY FUND";"H8NJ11142";"H"
"Jill Schupp";"SCHUPP FOR CONGRESS";123932;368;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00729558";"MO";"P";"DEM";"";"SCHUPP VICTORY FUND";"H0MO02254";"H"
"Walmart";"WALMART INC.";123890;24;"?";"NONPARTISAN";"?";"other";"corporation_and_Labor_special_funds";"corporation/labor";"YES";"C00093054";"";"";"";"";"";"";""
"Better Future MI Fund";"BETTER FUTURE MI FUND";123731;112;"REPUBLICAN";"REPUBLICAN";"region";"region";"Political_Action_Commitees";"pac";"YES";"C00725317";"MA";"U";"";"";"NONE";"";"O"
"Stronger Nevada PAC";"STRONGER NEVADA PAC";123716;27;"REPUBLICAN";"REPUBLICAN";"region";"region";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"People For the American Way";"PEOPLE FOR THE AMERICAN WAY";123499;132;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00331454";"DC";"U";"";"M";"PEOPLE FOR THE AMERICAN WAY";"";"Q"
"Nike";"NIKE, INC";123320;45;"?";"NONPARTISAN";"?";"other";"Political_Action_Commitees";"pac";"YES";"C00142786";"OR";"B";"";"C";"NIKE, INC.";"";"Q"
"Mark Robinson for N.C.";"MARK ROBINSON FOR NC";123280;35;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Working Together For A Better Michigan";"WORKING TOGETHER FOR A BETTER MICHIGAN";123142;36;"REPUBLICAN";"REPUBLICAN";"region";"region";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Stand Up To China";"STAND UP TO CHINA, INC.";122942;225;"NON-PARTISAN";"NONPARTISAN";"single issue";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Better Solutions for Healthcare";"BETTER SOLUTIONS FOR HEALTHCARE";122808;184;"NON-PARTISAN";"NONPARTISAN";"healthcare";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Teamsters";"INTERNATIONAL BROTHERHOOD OF TEAMSTERS";122770;335;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00032979";"DC";"U";"NNE";"L";"INTERNATIONAL BROTHERHOOD OF TEAMSTERS";"";"Q"
"Coach";"TAPESTRY, INC.";122690;18;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Family Research Council";"FAMILY RESEARCH COUNCIL";122614;21;"REPUBLICAN";"REPUBLICAN";"religion";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00452383";"DC";"B";"";"M";"";"";"Q"
"ICount NM";"I COUNT NEW MEXICO";122370;168;"?";"NONPARTISAN";"?";"other";"?";"other";"NO";"";"";"";"";"";"";"";""
"Our American Century";"OUR AMERICAN CENTURY";122125;49;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00532630";"VA";"U";"";"";"";"";"O"
"Amy Kennedy";"AMY KENNEDY FOR CONGRESS";122105;603;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00732545";"NJ";"P";"DEM";"";"HOUSE VICTORY PROJECT 2020";"H0NJ02171";"H"
"Sara Jacobs";"SARA JACOBS FOR CONGRESS";122045;62;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00660837";"CA";"P";"DEM";"";"";"H8CA49074";"H"
"Black Voters Matter";"BLACK VOTERS MATTER FUND INC";121994;178;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(4)";"50x";"YES";"C30002943";"";"U";"";"";"";"";"E"
"The Ann and Phelim Scoop";"THE UNREPORTED STORY SOCIETY";121880;178;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Faith In Minnesota";"FAITH IN MINNESOTA";121669;41;"WASHINGTON OFFICE OF THE SECRETARY OF STATE";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"RGA Right Direction PAC";"RGA RIGHT DIRECTION PAC";121189;17;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00490730";"DC";"U";"";"";"NONE";"";"O"
"Jackie Gordon";"JACKIE GORDON FOR CONGRESS";120786;341;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00706549";"NY";"P";"DEM";"";"SERVE AMERICA VICTORY FUND";"H0NY02192";"H"
"Impact Slates";"COLLECTIVE IMPACT PAC";120685;784;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00748418";"DC";"U";"";"";"";"";"V"
"WA Secretary of State";"WASHINGTON OFFICE OF THE SECRETARY OF STATE";120596;14;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"Fellow Americans";"FELLOW AMERICANS";120390;973;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"501(c)(4)";"50x";"YES";"C90019258";"DC";"U";"";"";"";"";"I"
"Banana Republic";"BANANA REPUBLIC";120237;38;"NON-PARTISAN";"NONPARTISAN";"clothing";"other";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Sunrise Movement";"SUNRISE PAC";120036;533;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00674697";"DC";"U";"";"";"NONE";"";"W"
"Democrats.com";"DEMOCRATS.COM";119972;66;"DEMOCRATIC";"DEMOCRATIC";"merchandize";"merchandize";"Political_Action_Commitees";"pac";"YES";"C00580993";"NY";"U";"";"";"NONE";"";"V"
"Xochitl for Congress";"XOCHITL FOR NEW MEXICO";119817;260;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00666149";"NM";"P";"DEM";"";"HAALAND TORRES SMALL VICTORY FUND";"H8NM02248";"H"
"Next Level Goods";"NEXT LEVEL GOODS LLC";119787;850;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"League of Conservation Voters";"LEAGUE OF CONSERVATION VOTERS EDUCATION FUND";118888;504;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00252940";"DC";"B";"";"M";"LEAGUE OF CONSERVATION VOTERS, INC";"";"Q"
"Matt Cartwright for U.S. Congress";"CARTWRIGHT FOR CONGRESS";118409;232;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00509968";"PA";"P";"DEM";"";"CARTWRIGHT VICTORY FUND";"H2PA17079";"H"
"San Diego County Democratic Party";"SAN DIEGO COUNTY DEMOCRATIC PARTY (FED. ACCT.)";117979;330;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"";"";"";"";"";"";"";""
"Blue Senate";"BLUE SENATE PAC";117958;107;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00743641";"DC";"D";"";"";"MERKLEY";"";"N"
"Keep America Great Again";"KAGAGEAR.COM";117855;9;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Opportunity Wisconsin";"OPPORTUNITY WISCONSIN";117102;38;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"?";"other";"NO";"";"";"";"";"";"";"";""
"David Young";"YOUNG FOR IOWA, INC.";117017;115;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00545616";"IA";"P";"REP";"";"REPUBLICANS INSPIRING SUCCESS & EMPOWERMENT PROJECT (RISE PROJECT)";"H4IA03115";"H"
"Wright For Texas Railroad Commission";"WRIGHT FOR TEXAS";116572;103;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Betsy Dirksen Londrigan";"BETSY DIRKSEN LONDRIGAN FOR CONGRESS";116514;338;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00649483";"IL";"P";"DEM";"";"HOLD THE HOUSE VICTORY FUND";"H8IL13150";"H"
"North Carolina Leadership Committee";"NORTH CAROLINA LEADERSHIP COMMITTEE";116217;106;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Conservative Collections";"MAINLINE MEDIA GROUP";115989;9686;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Barbara Bry for Mayor";"BARBARA BRY FOR SAN DIEGO MAYOR 2020";115862;311;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Bill Cassidy";"BILL CASSIDY FOR US SENATE";115653;168;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00543983";"LA";"P";"REP";"";"CASSIDY VICTORY 2020";"S4LA00107";"S"
"Yes on Measure RR - LAUSD School Bond";"YES ON MEASURE RR - COMMITTEE FOR SAFE, UPDATED, MODERNIZED SCHOOLS";114845;834;"NON-PARTISAN";"NONPARTISAN";"education";"law";"Independet_Action_Commitee";"other";"NO";"";"";"";"";"";"";"";""
"Minnesota Votes Trump Out";"TECH FOR CAMPAIGNS";114810;112;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00636027";"CA";"U";"";"";"NONE";"";"V"
"America Benefits Today";"DOLLAR INFORMER";114744;18;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"FreedomWorks";"FREEDOMWORKS FOR AMERICA";114524;99;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00499020";"DC";"U";"";"";"NONE";"";"O"
"NJ CAN 2020";"NJ CAN 2020";114361;128;"NON-PARTISAN";"NONPARTISAN";"region";"region";"?";"other";"NO";"";"";"";"";"";"";"";""
"Colorado Way";"THE STORY OF US";114293;75;"?";"NONPARTISAN";"?";"other";"?";"other";"NO";"";"";"";"";"";"";"";""
"Brian Fitzpatrick";"BRIAN FITZPATRICK FOR CONGRESS";114274;273;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00607416";"PA";"P";"REP";"";"TEAM FITZ";"H6PA08277";"H"
"SEIU Local 2015";"SEIU LOCAL 2015";114106;326;"DEMOCRATIC";"DEMOCRATIC";"Labor";"Ideology/Single Issue";"501(c)(9)";"50x";"YES";"C70005905";"CA";"U";"";"L";"";"";"C"
"American Action News";"AMERICAN ACTION NEWS";113851;182;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"C-SPAN";"C-SPAN";113472;102;"?";"NONPARTISAN";"?";"other";"?";"other";"NO";"";"";"";"";"";"";"";""
"American Encore";"AMERICAN ENCORE";113451;148;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Peter DeFazio";"DEFAZIO FOR CONGRESS";113368;2206;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00215905";"OR";"P";"DEM";"";"";"H6OR04047";"H"
"The Election Is Now";"BLACK VOTE PA";113313;29;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00760678";"AZ";"U";"";"";"NONE";"";"O"
"Hillary Scholten";"SCHOLTEN FOR CONGRESS";113173;121;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00711317";"MI";"P";"DEM";"";"SCHOLTEN VICTORY FUND";"H0MI03316";"H"
"SEIU California";"SEIU CALIFORNIA";113115;37;"DEMOCRATIC";"DEMOCRATIC";"Labor";"Ideology/Single Issue";"501(c)(5)";"50x";"YES";"C70006143";"CA";"U";"";"L";"";"";"C"
"United States Constitution";"FLAG AND CROSS";113022;215;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Canvass America";"CANVASS AMERICA";112930;42;"REPUBLICAN";"REPUBLICAN";"campaign";"other";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"ClearPath Action Fund";"CLEARPATH ACTION FUND";112504;28;"REPUBLICAN";"REPUBLICAN";"climate";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00608943";"NC";"U";"";"";"";"";"O"
"Mountain State Values";"MOUNTAIN STATE VALUES";112024;80;"REPUBLICAN";"REPUBLICAN";"region";"region";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"LUCHA - Living United for Change in Arizona";"LIVING UNITED FOR CHANGE IN ARIZONA";111908;191;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"501(c)(4)";"50x";"YES";"C90018169";"AZ";"U";"";"";"";"";"I"
"Broward County Supervisor of Elections";"BROWARD SUPERVISOR OF ELECTIONS";111901;55;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"Lemons Are Blue";"LOCKWELL LLC";111772;5397;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Miller-Meeks";"DCCC";111482;22;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00000935";"DC";"U";"DEM";"";"";"";"Y"
"Ocean Conservancy";"OCEAN CONSERVANCY, INC.";111394;218;"NON-PARTISAN";"NONPARTISAN";"climate";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Hollywood Jon Ossoff";"NRSC";111373;23;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00027466";"DC";"U";"REP";"";"YOUNG VICTORY COMMITTEE";"S4AK00214";"Y"
"PL+US Action Fund";"PLUS ACTION FUND";111371;265;"DEMOCRATIC";"DEMOCRATIC";"Labor";"Ideology/Single Issue";"501(c)(3)";"50x";"YES";"C30002927";"CA";"U";"";"";"";"";"E"
"Jeff Jackson";"JEFF JACKSON FOR NC SENATE";110970;240;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Latino Victory";"LATINO VICTORY";110734;410;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00562777";"DC";"U";"";"";"NONE";"";"W"
"Brady";"BRADY CAMPAIGN TO PREVENT GUN VIOLENCE";110672;180;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"501(c)(4)";"50x";"YES";"C00113449";"DC";"U";"";"W";"BRADY CAMPAIGN TO PREVENT GUN VIOLENCE - VOTER EDUCATION FUND";"";"Q"
"Latinos for Trump";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";110518;672;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Somos Votantes";"SOMOS VOTANTES";110337;12;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00760504";"DC";"U";"";"";"SOMOS PAC";"";"O"
"Feel Good Voting";"FEEL GOOD ACTION";109784;1059;"?";"NONPARTISAN";"?";"other";"?";"other";"NO";"";"";"";"";"";"";"";""
"Purina";"NESTLE PURINA PETCARE COMPANY";109692;6;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00338335";"MO";"U";"";"C";"";"";"Q"
"American Bankers Association";"AMERICAN BANKERS ASSOCIATION";109658;16;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00004275";"DC";"B";"NNE";"T";"ARKANSAS BANKERS ASSOCIATION PAC INC.";"";"Q"
"Penzeys Spices";"PENZEYS LTD";109589;181;"NON-PARTISAN";"NONPARTISAN";"ideology";"Ideology/Single Issue";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"N.C. State Board of Elections";"NORTH CAROLINA STATE BOARD OF ELECTIONS WITH FACEBOOK AD CREDITS";109508;14;"NON-PARTISAN";"NONPARTISAN";"civil service";"civil service";"state";"government";"NO";"";"";"";"";"";"";"";""
"Yes on Amendment B";"YES ON AMENDMENT B";109186;86;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"law";"?";"other";"NO";"";"";"";"";"";"";"";""
"March of Dimes";"MARCH OF DIMES INC.";109051;229;"NON-PARTISAN";"NONPARTISAN";"healthcare";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Massachusetts Right to Repair Coalition";"MASS RIGHT TO REPAIR COMMITTEE";108746;249;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Independet_Action_Commitee";"other";"NO";"";"";"";"";"";"";"";""
"Jon Hoadley";"JON HOADLEY FOR CONGRESS";108480;165;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00701599";"MI";"P";"DEM";"";"HOADLEY VICTORY FUND";"H0MI06152";"H"
"Participant Media";"PARTICIPANT MEDIA";108317;1070;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Yes on 110";"MORE TREATMENT FOR A BETTER OREGON: YES ON 110";107963;168;"DEMOCRATIC";"DEMOCRATIC";"healthcare";"law";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"One Nation Design";"ONE NATION DESIGN";107923;346;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"California Census";"CA CENSUS 2020";107793;187;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"state";"government";"NO";"";"";"";"";"";"";"";""
"Community Food Bank of Southern Arizona";"COMMUNITY FOOD BANK, INC.";107279;69;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"iVote";"IVOTE CIVIC EDUCATION FUND";107249;126;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3) ";"50x";"NO";"";"";"";"";"";"";"";""
"Tedra Cobb";"COMMITTEE TO ELECT TEDRA COBB";106506;264;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00649061";"NY";"P";"DEM";"";"COBB VICTORY FUND";"H8NY21245";"H"
"Iowa GOP";"REPUBLICAN PARTY OF IOWA";106417;141;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00014498";"IA";"U";"REP";"";"REPUBLICAN NATIONAL COMMITTEE";"";"Y"
"Alex Padilla";"ALEX PADILLA BALLOT MEASURE COMMITTEE FOR DEMOCRACY AND JUSTICE – YES ON PROPOSITIONS 16, 17 AND 18";106351;37;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Ann Wagner";"ANN WAGNER FOR CONGRESS";106321;385;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00495846";"MO";"P";"REP";"";"FINANCIAL INNOVATION COMMITTEE";"H2MO02102";"H"
"Betterway Campaign";"WAYMAKERS";106285;56;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"NRA Institute for Legislative Action";"NRA POLITICAL VICTORY FUND";106217;184;"REPUBLICAN";"REPUBLICAN";"civil rights";"civil rights";"501(c)(4)";"50x";"YES";"C00053553";"VA";"B";"UNK";"M";"NATIONAL RIFLE ASSOCIATION OF AMERICA";"";"Q"
"League of Women Voters of Florida";"LEAGUE OF WOMEN VOTERS OF FLORIDA EDUCATION FUND";106187;40;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"YES";"";"";"";"";"";"";"";""
